Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
General Hotel Supply Company,General Hotel Supply Company,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Superintendent of Construction and Maintenance,Superintendent of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
John Mansville Sales Corp.,John Mansville Sales Corp.,contributor,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Snead and Company,Snead and Company,contributor,coorporate,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect; Robert Leon White | supervising architect,Office of the Supervising Architect,contributor,coorporate,Robert Leon White,supervising architect,person,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
David Hoffman and Company,David Hoffman and Company,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Office of the Resident Architect,Office of the Resident Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of Resident Architect,Office of Resident Architect,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Cass Gilbert,Cass Gilbert,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Kauffman Heating and Engineering Co.,Kauffman Heating and Engineering Co.,contributor,coorporate,,,,,,,,,
Vermont Marble Company,Vermont Marble Company,contributor,coorporate,,,,,,,,,
Cass Gilbert,Cass Gilbert,contributor,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Office of Superintendent of Construction and Maintenance,Office of Superintendent of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Comptroller,Office of the Comptroller,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
J. L. O?Connor,J. L. O?Connor,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Harmon and Mok,Harmon and Mok,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Warner and Swasey Co.,Warner and Swasey Co.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
J. E. Morgan and Sons,J. E. Morgan and Sons,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Charles W. Jones Engineering,Charles W. Jones Engineering,contributor,coorporate,,,,,,,,,
Rochlin and Baran,Rochlin and Baran,contributor,coorporate,,,,,,,,,
Warner and Swasey Co.,Warner and Swasey Co.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Ellison Bronze Company,Ellison Bronze Company,contributor,coorporate,,,,,,,,,
Warner and Swasey Co.,Warner and Swasey Co.,contributor,coorporate,,,,,,,,,
University Lands Survey Office,University Lands Survey Office,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Warner and Swasey Co.,Warner and Swasey Co.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Hoff, Blackstone and Strode","Hoff, Blackstone and Strode",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Pre-Lim Associates,Pre-Lim Associates,contributor,coorporate,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,
Page Southerland Page,Page Southerland Page,contributor,coorporate,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
George A. Dahl | associate architect,George A. Dahl,associate architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
B. W. Crain Jr.,B. W. Crain Jr.,contributor,person,,,,,,,,,
J. Herschel Fisher; Pat Y. Spillman,J. Herschel Fisher,contributor,person,Pat Y. Spillman,contributor,person,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Robert Leon White; Samuel Vosper; Ralph Cameron,Robert Leon White,contributor,person,Samuel Vosper,contributor,person,Ralph Cameron,contributor,person,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Raymond Everett,Raymond Everett,contributor,person,,,,,,,,,
Cameron; Ralph Haywood,Cameron,contributor,person,Ralph Haywood,contributor,person,,,,,,
Nicholas J. Clayton,Nicholas J. Clayton,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Raymond Everett,Raymond Everett,contributor,person,,,,,,,,,
J. O. Nugent,J. O. Nugent,contributor,person,,,,,,,,,
Samuel Charles Phelps Vosper,Samuel Charles Phelps Vosper,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Raiford Stripling,Raiford Stripling,contributor,person,,,,,,,,,
"Craig, R.M.","Craig, R.M.",contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Baker, William A. collection - photographs","Baker, William A. collection - photographs",contributor,person,,,,,,,,,
"Hill, Rodney - papers","Hill, Rodney - papers",contributor,person,,,,,,,,,
"Pape, Gustav","Pape, Gustav",contributor,person,,,,,,,,,
F. H. Schmidt,F. H. Schmidt,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Giesecke, Frederick E.","Giesecke, Frederick E.",contributor,person,,,,,,,,,
C. Coatsworth Pinkney | landscape architect,C. Coatsworth Pinkney,landscape architect,person,,,,,,,,,
Stephen Kubenka Architects,Stephen Kubenka Architects,contributor,coorporate,,,,,,,,,
Peter Coltman,Peter Coltman,contributor,person,,,,,,,,,
Wisconsin Bridge and Iron Company,Wisconsin Bridge and Iron Company,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sir John Soane,Sir John Soane,contributor,person,,,,,,,,,
Lutyens,Lutyens,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Pendley and George | architectural firm,Pendley and George,architectural firm,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Raymond Everett,Raymond Everett,contributor,person,,,,,,,,,
Hal B. Thomson,Hal B. Thomson,contributor,person,,,,,,,,,
SOA Student Measured Drawings,SOA Student Measured Drawings,contributor,person,,,,,,,,,
Henry T. Phelps,Henry T. Phelps,contributor,person,,,,,,,,,
Jessen Jessen Millhouse and Greeven | consulting architects,Jessen Jessen Millhouse and Greeven,consulting architects,coorporate,,,,,,,,,
Stewart King,Stewart King,contributor,person,,,,,,,,,
Harvey P. Smith,Harvey P. Smith,contributor,person,,,,,,,,,
Stewart King,Stewart King,contributor,person,,,,,,,,,
Harvey P. Smith,Harvey P. Smith,contributor,person,,,,,,,,,
Harvey P. Smith and Associates,Harvey P. Smith and Associates,contributor,coorporate,,,,,,,,,
Harvey P. Smith,Harvey P. Smith,contributor,person,,,,,,,,,
Homer L. Fry,Homer L. Fry,contributor,person,,,,,,,,,
Fry (illegible) of San Antonio,Fry (illegible) of San Antonio,contributor,person,,,,,,,,,
Harvey P. Smith,Harvey P. Smith,contributor,person,,,,,,,,,
SOA Student Measured Drawings,SOA Student Measured Drawings,contributor,person,,,,,,,,,
Atlee B. Ayres | architect,Atlee B. Ayres,architect,person,,,,,,,,,
"Eickenroht, Marvin C.  (1904-1968)","Eickenroht, Marvin C.",contributor,person,,,,,,,,,
"Guyon, Arthur","Guyon, Arthur",contributor,person,,,,,,,,,
George Dahl,George Dahl,contributor,person,,,,,,,,,
Roland Roessner,Roland Roessner,contributor,coorporate,,,,,,,,,
Harvey P. Smith | consulting architect,Harvey P. Smith,consulting architect,person,,,,,,,,,
Donald Nelson,Donald Nelson,contributor,person,,,,,,,,,
George Dahl,George Dahl,contributor,person,,,,,,,,,
George L. Dahl | architect and engineer,George L. Dahl,architect and engineer,person,,,,,,,,,
Wiley G. Clarkson,Wiley G. Clarkson,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Hubbell, Greene, LaRoche, Dahl","Hubbell, Greene, LaRoche, Dahl",contributor,person,,,,,,,,,
Herbert M. Greene and Company | architectural firm,Herbert M. Greene and Company,architectural firm,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Herbert M. Greene Company | university architects,Herbert M. Greene Company,university architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Herbert M. Greene,Herbert M. Greene,contributor,person,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Herbert M. Greene Company,Herbert M. Greene Company,contributor,coorporate,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Greene,Greene,contributor,person,,,,,,,,,
Herbert M. Greene,Herbert M. Greene,contributor,person,,,,,,,,,
Greene,Greene,contributor,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
LaRoche and Dahl,LaRoche and Dahl,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Dahl,Dahl,contributor,person,,,,,,,,,
"Greene, LaRoche, and Dahl","Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Dahl,Dahl,contributor,person,,,,,,,,,
George A. Endress | associated architect; Frederick M. Mann | associated architect,George A. Endress,associated architect,person,Frederick M. Mann,associated architect,person,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
"Kuehne, Brooks and Barr","Kuehne, Brooks and Barr",contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
O. F. P. C. UT System. Department of Construction and Maintenance,O. F. P. C. UT System. Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
O. F. P. C. UT System,O. F. P. C. UT System,contributor,person,,,,,,,,,
Herbert M. Greene Company | architectural firm,Herbert M. Greene Company,architectural firm,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Herbert M. Greene Company | architectural firm,Herbert M. Greene Company,architectural firm,coorporate,,,,,,,,,
Office of Robert Leon White | supervising architect,Office of Robert Leon White,supervising architect,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
American Seating Company,American Seating Company,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Roscoe P. Dewitt | architect,Roscoe P. Dewitt,architect,person,,,,,,,,,
"Office of the Resident Architect, Austin, TX","Office of the Resident Architect, Austin, TX",contributor,coorporate,,,,,,,,,
Roscoe P. Dewitt | architect,Roscoe P. Dewitt,architect,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Office of the Resident Architect, Austin, TX","Office of the Resident Architect, Austin, TX",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
George Albert Endress | architect,George Albert Endress,architect,person,,,,,,,,,
Cass Gilbert | architect,Cass Gilbert,architect,person,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Office of the Superintendent of Construction and Maintenance,Office of the Superintendent of Construction and Maintenance,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Herbert M. Greene and Company | architectural firm,Herbert M. Greene and Company,architectural firm,coorporate,,,,,,,,,
Office of the Supervising Architect; Robert Leon White | supervising architect,Office of the Supervising Architect,contributor,coorporate,Robert Leon White,supervising architect,person,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Office of Robert L. White | architect,Office of Robert L. White,architect,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Department of Construction and Maintenance,Department of Construction and Maintenance,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
"Harbeson, Hough, Livingston, and Larson | consulting architects","Harbeson, Hough, Livingston, and Larson",consulting architects,coorporate,,,,,,,,,
William Ward Watkin | architect,William Ward Watkin,architect,person,,,,,,,,,
Jessen Jessen Millhouse Greeven and Crume | architects,Jessen Jessen Millhouse Greeven and Crume,architects,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Walter G. Warren and Company,Walter G. Warren and Company,contributor,coorporate,,,,,,,,,
C. H. Page | architect,C. H. Page,architect,person,,,,,,,,,
Office of the Supervising Architect; Robert Leon White | supervising architect,Office of the Supervising Architect,contributor,coorporate,Robert Leon White,supervising architect,person,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
"Jessen, Jessen, Millhouse, and Greeven | architects","Jessen, Jessen, Millhouse, and Greeven",architects,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Paul E. Pressler,Paul E. Pressler,contributor,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
R. H. Hunt and Co. | architectural firm,R. H. Hunt and Co.,architectural firm,coorporate,,,,,,,,,
C. W. Bulger and Son | architectural firm,C. W. Bulger and Son,architectural firm,coorporate,,,,,,,,,
C. D. Hill and Co. | architectural firm,C. D. Hill and Co.,architectural firm,coorporate,,,,,,,,,
R. H. Hunt and Co. | architectural firm,R. H. Hunt and Co.,architectural firm,coorporate,,,,,,,,,
W. M. Simpson (NYC),W. M. Simpson (NYC),contributor,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Sanguinet and Staats | architectural firm,Sanguinet and Staats,architectural firm,coorporate,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Coburn Smith and Evans | architectural firm,Coburn Smith and Evans,architectural firm,coorporate,,,,,,,,,
Sanguinet and Staats | architectural firm,Sanguinet and Staats,architectural firm,coorporate,,,,,,,,,
C. D. Hill and Co. | architectural firm,C. D. Hill and Co.,architectural firm,coorporate,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Alfred C. Finn | architect,Alfred C. Finn,architect,person,,,,,,,,,
J. M. McCammon,J. M. McCammon,contributor,person,,,,,,,,,
Green and Finger | architectural firm,Green and Finger,architectural firm,coorporate,,,,,,,,,
E. Stanley Field,E. Stanley Field,contributor,person,,,,,,,,,
"Graham, Anderson, Probst and White | architectural firm","Graham, Anderson, Probst and White",architectural firm,coorporate,,,,,,,,,
J. H. Humphrey,J. H. Humphrey,contributor,person,,,,,,,,,
J. H. Atherton,J. H. Atherton,contributor,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ayres and Ayres | architects,Ayres and Ayres,architects,coorporate,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Griffith - Barglebauch | architectural firm,Griffith - Barglebauch,architectural firm,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
"I. R. Timlin, Southwestern Bell Telephone Company | architect; Lang and Withcell | architectural firm","I. R. Timlin, Southwestern Bell Telephone Company",architect,coorporate,Lang and Withcell,architectural firm,coorporate,,,,,,
Fooshee and Cheek | architectural firm,Fooshee and Cheek,architectural firm,coorporate,,,,,,,,,
W. G. Clarkson and Company | architectural firm,W. G. Clarkson and Company,architectural firm,coorporate,,,,,,,,,
E. Stanley Field,E. Stanley Field,contributor,person,,,,,,,,,
Joseph Finger | architect,Joseph Finger,architect,person,,,,,,,,,
Hubbell and Greene | architectural firm,Hubbell and Greene,architectural firm,coorporate,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
R. H. Hunt and Co. | architectural firm,R. H. Hunt and Co.,architectural firm,coorporate,,,,,,,,,
Preston J. Bradshaw,Preston J. Bradshaw,contributor,person,,,,,,,,,
Voelcker and Dixon | architectural firm,Voelcker and Dixon,architectural firm,coorporate,,,,,,,,,
Joseph Finger | architect,Joseph Finger,architect,person,,,,,,,,,
Page Brothers | architectural firm,Page Brothers,architectural firm,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
William B Hiner | architect,William B Hiner,architect,person,,,,,,,,,
